lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,gloss
ausdeenen,VRB,to broaden,,ausdehnen,,étendre,,"fir rentabel ze sinn, wëllt d'Firma hire Marché ausdeenen ",AUSDEENEN1UNI3,become broader,0.6741077899932861,erhöhen oder anheben,0.6873883008956909,,,become broader,en,0.6741077899932861,"Eppes méi laang oder méi breet maachen, andeems een et streckt oder spannt; sech selwer a Längt oder Breet vergréisseren."
ausdrécken,VRB,to squeeze,,ausdrücken,,presser,pour extraire un liquide,fir dëst Rezept mussen zwou Zitrounen ausgedréckt ginn ,AUSDRECKEN1UNI1,squeeze like a wedge into a tight space,0.6546434164047241,"auf eine bestimmte Weise sprechen, aussprechen oder äußern",0.6048083305358887,,,squeeze like a wedge into a tight space,en,0.6546434164047241,"Eppes a Wierder, Gesten oder aner Mëttel kloer formuléieren a vermëttelen; seng Gedanken, Gefiller oder Meenungen ausdrécken."
ausgeliwwert,ADJ,at the mercy of,,ausgeliefert,schutzlos überlassen,à la merci de,,d'Vollek war de Laune vum Diktator ausgeliwwert ,AUSGELIWWERT1UNI1,,,ohne Schutz oder Unterstützung,0.6171066761016846,,,ohne Schutz oder Unterstützung,de,0.6171066761016846,"Partizip Perfekt vu „ausliwweren“: un een aneren iwwerginn oder zougestallt (z. B. eng Bestellung, eng Persoun oder eng Saach), respektiv un eng Autoritéit ausgeliwwert."
ausgepräägt,ADJ,strong,,ausgeprägt,ausgesprochen stark,fort,,mat denger ausgepräägter Fantasie häss de solle Schrëftsteller ginn! ,AUSGEPRAAGT1UNI1,strong and sure,0.7578927278518677,,,powerful,0.6503462791442871,strong and sure,en,0.7578927278518677,Staark markéiert oder däitlech erausstiechend; kloer an intensiv ausgeformt oder ausgedréckt.
ausgeräift,ADJ,fully developed,,ausgereift,voll und ganz entwickelt,au point,,eise Projet ass nach net ausgeräift ,AUSGERAIFT1UNI1,,,vollständig durchdacht und vollendet,0.6550310850143433,,,vollständig durchdacht und vollendet,de,0.6550310850143433,"Vollstänneg entwéckelt a reif; op engem Stadium, wou eppes seng optimal Qualitéit oder Fäerdegkeet erreecht huet (z. B. Uebst, Wäin oder eng Persoun)."
ausgruewen,VRB,to dig up,to unearth,ausgraben,ausbuddeln,déterrer,,"eis Kanner mengen, se kéinten de Maulef ausgruewen ! ",AUSGRUEWEN1UNI1,,,"durch Ausgraben entfernen, ernten oder bergen",0.602442741394043,,,"durch Ausgraben entfernen, ernten oder bergen",de,0.602442741394043,"Eppes, dat am Buedem verstoppt oder begruewe läit, duerch Gruewen eraushuelen an nees fräileeën."
ausraumen,VRB,to clean out,to rob,ausräumen,,piller,dévaliser,bei eis an der Géigend goufen an der Lescht vill Villaen ausgeraumt ,AUSRAUMEN1UNI2,,,"beenden, beenden oder herausnehmen",0.650665283203125,,,"beenden, beenden oder herausnehmen",de,0.650665283203125,Eppes oder een ausrauben; duerch Déifstall oder Iwwerfall Saachen ewechhuelen.
ausriichten,VRB,to achieve,,ausrichten,erreichen,obtenir,parvenir à un résultat,"jiddereen huet säi Bescht gemaach, ouni awer eppes kënnen auszeriichten ",AUSRIICHTEN1UNI1,to gain with effort,0.6279656887054443,,,to gain with effort,0.6279656887054443,to gain with effort,en,0.6279656887054443,Eppes riicht oder an déi richteg Positioun bréngen; eppes organiséieren oder virbereeden an no engem Plang duerchféieren.
Ausseminister,SUBST,Foreign Minister,,Außenminister,,ministre des Affaires étrangères,,den Ausseminister representéiert eist Land op villen internationale Konferenzen ,AUSSEMINISTER1UNI1,,,ein für die Außenbeziehungen zuständiger Minister der Regierung,0.8256834745407104,,,ein für die Außenbeziehungen zuständiger Minister der Regierung,de,0.8256834745407104,"Member vun der Regierung, dat fir d’Aussepolitik an d’international Bezéiunge vum Land zoustänneg ass."
aussergewéinlech,ADJ,exceptional,,außergewöhnlich,,exceptionnel,,de Van Gogh war en aussergewéinleche Kënschtler ,AUSSERGEWEINLECH1UNI1,,,sich durch eine ungewöhnliche Eigenschaft auszeichnend; besonders Superlativ oder extrem in seiner Art,0.692305862903595,,,sich durch eine ungewöhnliche Eigenschaft auszeichnend; besonders Superlativ oder extrem in seiner Art,de,0.692305862903595,"Net gewéinlech; besonnesch, ausseruerdentlech oder ganz ongewéinlech."
äusserlech,ADJ,external,,äußerlich,außen,externe,,Ausschlag ass dacks en äusserlecht Unzeeche vun enger Allergie ,AUSSERLECH1UNI1,,,an der Außenseite des Körpers oder zur Außenseite hin,0.6177297234535217,,,an der Außenseite des Körpers oder zur Außenseite hin,de,0.6177297234535217,"Wat sech op d’Baussenzäit oder d’Äussecht vun eppes bezitt; vun dobaussen, net bannenzeg."
aussetzen,VRB,to expose to,,aussetzen,,exposer,"soumettre, livrer",den Auteur huet sech de Kriticke vun der Press ausgesat ,AUSSETZEN1UNI5,,,beenden oder beenden,0.647729754447937,,,beenden oder beenden,de,0.647729754447937,"Eppes fir eng Zäit ënnerbriechen oder ophalen (z. B. eng Aktivitéit, eng Bezuelung oder eng Behandlung), oder eppes/een enger Situatioun oder engem Afloss ausliwweren."
aussoen,VRB,to testify,,aussagen,"vor Gericht, bei der Polizei",déposer,,dräi Zeien hu géint den Ugekloten ausgesot ,AUSSOEN1UNI1,give testimony in a court of law,0.633284330368042,,,,,give testimony in a court of law,en,0.633284330368042,Eppes mat Wierder ausdrécken oder matdeelen; eng Ausso maachen.
Ausstellung,SUBST,exhibition,,Ausstellung,Veranstaltung,exposition,présentation publique,dem Kënschtler seng Ausstellung hat e grousse Succès ,AUSSTELLUNG1UNI2,the act of exhibiting,0.7292146682739258,,,,,the act of exhibiting,en,0.7292146682739258,"Organiséiert Presentatioun vu Konschtwierker, Objeten oder Informatiounen, déi fir de Public an engem Musée, enger Galerie oder engem anere Raum gewise gëtt."
Autoritéit,SUBST,authority,administrative body,Behörden,Verwaltungsorgan,autorités,organe administratif,d'Autoritéite vu béide Länner hunn effikass zesummegeschafft ,AUTORITEIT1UNI1,an administrative unit of government,0.790040135383606,,,,,an administrative unit of government,en,0.790040135383606,"Eng offiziell Instanz oder Organ, dat am Numm vum Staat oder enger Institutioun administrativ Aufgaben ausféiert an Entscheedungen trefft."
avantagéieren,VRB,to favour,to privilege,begünstigen,,avantager,privilégier,et soll kee wéinst enger Parteikaart avantagéiert ginn ,AVANTAGEIEREN1UNI1,bestow a privilege upon,0.625787615776062,,,,,bestow a privilege upon,en,0.625787615776062,"Een oder méi Leit, Gruppen oder Saachen duerch speziell Virdeeler, Preferenzen oder eng besser Behandlung géintiwwer aneren begënschtegen."
Aviatioun,SUBST,flying,aviation,Luftfahrt,,aviation,,mäi Jong ass vun der Aviatioun begeeschtert a wëllt Pilot ginn ,AVIATIOUN1UNI1,,,Reisen mit dem Flugzeug,0.7145986557006836,the art of operating aircraft,0.6208598613739014,Reisen mit dem Flugzeug,de,0.7145986557006836,D’Wëssenschaft an d’Praxis vum Fléien an dem Betrib vu Fligeren an anere Loftfaartgefierer.
bakteriell,ADJ,bacterial,,bakteriell,,bactérien,,huet d'Patientin eng bakteriell oder eng viral Hirnhautentzündung? ,BAKTERIELL1UNI1,relating to or caused by bacteria,0.6831560134887695,,,relating to or caused by bacteria,0.6831560134887695,relating to or caused by bacteria,en,0.6831560134887695,Op Bakterien bezunn; duerch Bakterien verursaacht oder vun hinnen ausgoend.
bannenan,ADV,inside,indoors,drinnen,,à l'intérieur,d'un bâtiment,elo huet dee Klautjen d'Dier zougezunn an de Schlëssel bannena leie gelooss! ,BANNENAN1UNI1,within a building,0.7484585046768188,,,,,within a building,en,0.7484585046768188,"An engem Gebai oder an engem zouene Raum, net dobaussen."
Banquet,SUBST,banquet,,Festessen,,banquet,,mir sinn hinne gëschter op engem Banquet begéint ,BANQUET1UNI1,a ceremonial dinner party for many people,0.618207573890686,,,a ceremonial dinner party for many people,0.618207573890686,a ceremonial dinner party for many people,en,0.618207573890686,"E grousst, feierlecht Iessen, dat meeschtens bei enger spezieller Geleeënheet mat villen Invitéen ofgehale gëtt."
Banquier,SUBST,banker,,Bankier,,banquier,,"hien hat keng Schwieregkeeten, fir sech als Banquier en Numm ze maachen ",BANQUIER1UNI1,,,ein Sicherheitsbeamter in einer Bank,0.6303272247314453,,,ein Sicherheitsbeamter in einer Bank,de,0.6303272247314453,"Eng Persoun, déi an enger Bank schafft an sech ëm finanziell Geschäfter wéi Konten, Kreditter an Investitioune këmmert."
Barcode,SUBST,barcode,,Barcode,,code-barres,,"wann d'Etikett gekniwwelt ass, kritt de Scanner de Barcode net gelies ",BARCODE1UNI1,,,"Code, der aus einer Reihe von vertikalen Strichen unterschiedlicher Breite besteht, die mit einem Laser abgetastet werden; auf Verpackungen von Konsumgütern aufgedruckt, um den Artikel für einen Computer zu identifizieren, der den Preis liefert und die Bestandsdaten registriert",0.6272831559181213,,,"Code, der aus einer Reihe von vertikalen Strichen unterschiedlicher Breite besteht, die mit einem Laser abgetastet werden; auf Verpackungen von Konsumgütern aufgedruckt, um den Artikel für einen Computer zu identifizieren, der den Preis liefert und die Bestandsdaten registriert",de,0.6272831559181213,"E Barcode ass e Code aus schwaarze Sträifen a Lücken (oder engem ähnleche Muster), deen op Produiten oder Dokumenter gedréckt ass a mat engem Scanner gelies gëtt, fir Informatiounen wéi Artikelnummer, Präis oder Lagerdaten séier z’erfaassen."
Barème,SUBST,scale,to measure amounts,Tabelle,zur Bestimmung von Beträgen,barème,,d'Steiere ginn no engem gesetzlech festgeluechte Barème berechent ,BAREME1UNI1,a measuring instrument for weighing; shows amount of mass,0.7207553386688232,,,,,a measuring instrument for weighing; shows amount of mass,en,0.7207553386688232,"Skala oder Tabelle mat festgeluechte Wäerter, no där Quantitéiten oder Montanten gemooss, berechent oder agestuuft ginn."
Barock,SUBST,baroque,,Barock,,baroque,style artistique,an der Konschtgeschicht beschäftege mer eis den Ament mam Barock ,BAROCK1UNI1,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",0.6054913997650146,,,,,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe",en,0.6054913997650146,"Konscht- an Architekturstil aus dem 17. a 18. Joerhonnert, charakteriséiert duerch vill Ornamenter, staark Kontraster a dramatesch, prunkvoll Formen."
Basar,SUBST,bazaar,market,Basar,Markt,bazar,marché,"op engem orientalesche Basar muss de handelen, soss gëss de beduckst! ",BASAR1UNI1,,,"ein öffentlicher Marktplatz, auf dem Lebensmittel und Waren verkauft werden",0.6345118880271912,,,"ein öffentlicher Marktplatz, auf dem Lebensmittel und Waren verkauft werden",de,0.6345118880271912,"E Basar ass e Maart, meeschtens mat ville Stänn oder klenge Butteker, wou verschidde Wueren ugebuede a verkaaft ginn."
Bauaarbechter,SUBST,labourer,,Bauarbeiter,,ouvrier (du bâtiment),,hie schafft als Bauaarbechter bei engem Entreprener ,BAUAARBECHTER1UNI1,someone who works with their hands; someone engaged in manual labor,0.6134507656097412,,,,,someone who works with their hands; someone engaged in manual labor,en,0.6134507656097412,"Persoun, déi um Chantier am Bau schafft an Aarbechten ewéi Maueren, Betonéieren oder Montéieren ausféiert."
Baumaterial,SUBST,building material(s),,Baumaterial,,matériaux de construction,,muer gëtt d'Baumaterial geliwwert ,BAUMATERIAL1UNI1,,,"Material, das zum Bau von Gebäuden verwendet wird",0.7123247385025024,,,"Material, das zum Bau von Gebäuden verwendet wird",de,0.7123247385025024,"Material, dat fir de Bau oder d’Renovatioun vu Gebaier a Konstruktioune benotzt gëtt, wéi z. B. Zillen, Beton, Holz oder Stol."
bedroen,VRB,to threaten,,bedrohen,"verängstigen, einschüchtern",menacer,intimider,den Déif huet säin Affer mam Messer bedrot ,BEDROEN1UNI1,to utter intentions of injury or punishment against:,0.6223747730255127,,,act in a threatening manner,0.7129226922988892,to utter intentions of injury or punishment against:,en,0.6223747730255127,"Absichtlech eng aner Persoun täuschen oder hannergoen, fir si ze schiedegen oder selwer e Virdeel ze kréien."
Been,SUBST,leg,limb,Bein,Gliedmaße,jambe,membre,vill Leit hunn ee Bee méi kuerz ewéi dat anert ,BEEN1UNI1,the limb of an animal used for food,0.6994245052337646,,,,,the limb of an animal used for food,en,0.6994245052337646,"En Deel vum Kierper, dat vum Hëft bis bei de Fouss geet a fir d’Stoen, d’Goe an d’Lafe benotzt gëtt."
befriddegen,VRB,to satisfy,"a demand, a need",befriedigen,zufriedenstellen,satisfaire,,d'Nofro konnt net befriddegt ginn ,BEFRIDDEGEN1UNI1,,,nachgeben; Befriedigung verschaffen,0.6247869729995728,,,nachgeben; Befriedigung verschaffen,de,0.6247869729995728,"E Besoin oder eng Noutwendegkeet, déi erfëllt oder zefriddegestallt muss ginn."
begieren,VRB,to need,,begehren,wünschen,désirer,,am Alter begiers de ëmmer manner ,BEGIEREN1UNI2,have need of,0.6616418361663818,,,,,have need of,en,0.6616418361663818,Staarkt Wonsch oder Verlaangen no eppes; eppes gär hunn a wëllen erreechen oder kréien.
begierlech,ADJ,greedy,,begierig,,avide,,si hu begierlech Blécker op de Buffet geworf ,BEGIERLECH1UNI1,,,,,excessively greedy and grasping,0.6347094774246216,excessively greedy and grasping,fr,0.6347094774246216,Begierlech: staark no eppes verlaangend; gären a mat grousser Loscht eppes wëllend oder erwaart.
behäerzegen,VRB,to take to heart,,beherzigen,,prendre à cœur,,"ech hoffen, datt si eis Warnung behäerzegen ",BEHAERZEGEN1UNI1,,,aufmerksam sein; beachtet werden,0.7423522472381592,,,aufmerksam sein; beachtet werden,de,0.7423522472381592,Mat Courage an Entschlossheet erfëllen; sech eppes zu Häerz huelen an et mat Wëllenskraaft ugoen.
Béierhief,SUBST,brewer's yeast,,Bierhefe,,levure de bière,,all Brauerei zillt hir eege Béierhief ,BEIERHIEF1UNI1,,,,,yeast used in fermenting beer,0.8047927618026733,yeast used in fermenting beer,fr,0.8047927618026733,"Hief, déi beim Brauen vu Béier agesat gëtt, fir d’Zocker am Wort ze vergären an domat Alkohol a Kuelendioxid ze bilden."
bekannt,ADJ,well known,,bekannt,,connu,,déi Melodie ass bekannt ,BEKANNT1UNI1,,,,,widely known and esteemed,0.7705360651016235,widely known and esteemed,fr,0.7705360651016235,"Allgemeng unerkannt oder vertraut; eppes oder een, deen d’Leit scho kennen oder vun deem si schonn héieren hunn."
Belaaschtung,SUBST,pollution,,Belastung,Verschmutzung,nuisance,pollution,d'Nitrater sinn eng Belaaschtung fir d'Grondwaasser ,BELAASCHTUNG1UNI3,the state of being polluted,0.6227235794067383,,,,,the state of being polluted,en,0.6227235794067383,"D’Belaaschtung ass d’Laascht oder den Drock, deen een duerch Aarbecht, Verantwortung, Stress oder kierperlech Ustrengung ze droen huet."
Belgrad,NP,Belgrade,,Belgrad,,Belgrade,,Belgrad ass d'Haaptstad vu Serbien ,BELGRAD1UNI1,capital and largest city of Serbia and Montenegro; situated on the Danube,0.6468291878700256,,,,,capital and largest city of Serbia and Montenegro; situated on the Danube,en,0.6468291878700256,"Haaptstad vu Serbien, um Zesummefloss vun der Save an der Donau."
beliichten,VRB,to expose,photographic film,belichten,,exposer,"un film, une photo","d'Fotoe sinn näischt ginn, well ech se schlecht beliicht hat ",BELIICHTEN1UNI4,"expose to light, of photographic film",0.6531983613967896,,,,,"expose to light, of photographic film",en,0.6531983613967896,"E fotografesche Film (oder eng Plack) mat Liicht exponéieren, fir datt e Bild drop entsteet."
Beliichtung,SUBST,exposure,"of a film, of a photo",Belichtung,,exposition,"d'un film, d'une photo","deng Fotoe sinn ze däischter, probéier emol eng aner Beliichtung ",BELIICHTUNG1UNI1,the act of exposing film to light,0.6008381843566895,,,,,the act of exposing film to light,en,0.6008381843566895,"D’Beliichtung ass d’Aart a Weis, wéi vill Liicht bei enger Foto oder engem Film op de Sensor oder de Film kënnt, an domat wéi hell oder däischter d’Bild gëtt."
Bëlz,SUBST,bonce,head,Kopf,Körperteil,tête,partie du corps,bei der Kläpperei krut ee vun den Implizéierten eng op d'Bëlz ,BELZ1UNI2,informal terms for a human head,0.6931225061416626,,,informal terms for a human head,0.6931226253509521,informal terms for a human head,en,0.6931225061416626,"De Kapp; den ieweschten Deel vum Kierper, wou d’Gehir, d’Aen, d’Oueren, d’Nues an de Mond sinn."
beméien,VRB,to endeavour,,sich bemühen,sich Mühe geben,faire de son mieux,,mir hunn eis beméit fir ze gewannen ,BEMEIEN1UNI2,,,"sich die Mühe machen, etwas zu tun; sich kümmern",0.8598528504371643,,,"sich die Mühe machen, etwas zu tun; sich kümmern",de,0.8598528504371643,"Sich ustrengen an all seng Méi ginn, fir e bestëmmt Zil z’erreechen oder eppes gutt fäerdeg ze bréngen."
bemolen,VRB,to paint,to decorate,bemalen,,peindre,décorer,de Parzeläin gëtt deelweis nach op der Hand bemoolt ,BEMOLEN1UNI1,,,mit Farben zu schmücken,0.7129504680633545,,,mit Farben zu schmücken,de,0.7129504680633545,"Eppes mat Molereien, Faarwen oder Ornamenter verschéineren an dekoréieren."
bengelen,VRB,to pester,,drängen,unter Druck setzen,harceler,,"hie gouf gebengelt , bis datt en dat gemaach huet, wat se vun em wollten ",BENGELEN1UNI2,,,drücken oder zwingen,0.7463681101799011,,,drücken oder zwingen,de,0.7463681101799011,Mat engem haarde Géigestand oder mat de Fäusten widderholl a kräfteg schloen; een oder eppes verprügelen.
Beniner,SUBST,Beninese,,Beniner,,Béninois,,mäi beschte Frënd ass Beniner ,BENINER1UNI1,a native or inhabitant of Benin,0.7686527967453003,,,a native or inhabitant of Benin,0.7686527967453003,a native or inhabitant of Benin,en,0.7686527967453003,"Eng Persoun, déi aus dem Benin kënnt oder dohier staamt."
beninesch,ADJ,Beninese,,beninisch,,béninois,,op eiser Rees hu mir déi beninesch Kultur kenne geléiert ,BENINESCH1UNI1,of or relating to or characteristic of Benin or its people,0.6432523727416992,,,of or relating to or characteristic of Benin or its people,0.6432523727416992,of or relating to or characteristic of Benin or its people,en,0.6432523727416992,"Gutaarteg; net béisaarteg a meeschtens net geféierlech (besonnesch am medezinesche Sënn, z. B. bei engem Tumor)."
Beräich,SUBST,field,sphere,Bereich,Sachgebiet,domaine,contexte,mäin Agent huet vill Experienz am Beräich vun de Liewensversécherungen ,BERAICH1UNI2,,,"spezielle Abteilung, Zweig eines Fachgebiets",0.6063077449798584,,,"spezielle Abteilung, Zweig eines Fachgebiets",de,0.6063077449798584,"E bestëmmte Gebitt oder Feld, an deem eppes gëllt oder stattfënnt; eng Sphär vun Aktivitéit, Wëssen oder Afloss."
beréieren,VRB,to touch,to come into contact with,berühren,anfassen,toucher,"entrer en contact, effleurer","wann s de den elektreschen Drot beréiers , da kriss de eng gewéitscht! ",BEREIEREN1UNI1,"make physical contact with, come in contact with",0.7517594695091248,,,,,"make physical contact with, come in contact with",en,0.7517594695091248,"A Kontakt mat eppes oder engem kréien, et mat der Hand oder engem anere Kierperdeel liicht oder kuerz ustoussen."
berücksichtegen,VRB,to consider,,berücksichtigen,,prendre en considération,,d'Meenung vun de Leit gouf guer net berücksichtegt ,BERUCKSICHTEGEN1UNI1,give careful consideration to,0.6160863637924194,,,,,give careful consideration to,en,0.6160863637924194,Eppes an d’Iwwerleeung mat abezéien an drop Récksiicht huelen; eppes bei enger Entscheedung oder Bewäertung mat anrechnen.
Beruffsliewen,SUBST,professional life,,Berufsleben,,vie professionnelle,,"déi Jonk hunn et dacks schwéier, am Beruffsliewe Fouss ze faassen ",BERUFFSLIEWEN1UNI1,,,"eine Karriere in der Industrie, im Handel oder im Beruf",0.6869147419929504,,,"eine Karriere in der Industrie, im Handel oder im Beruf",de,0.6869147419929504,"D’Liewen an d’Erfarungen am Kader vun der berufflecher Aktivitéit, also d’Aarbechtswelt an de Verlaf vun enger Carrière."
beschiedegen,VRB,to damage,,beschädigen,,abîmer,,den Auto gouf beim Accident nëmme liicht beschiedegt ,BESCHIEDEGEN1UNI1,inflict damage upon,0.6210446357727051,,,,,inflict damage upon,en,0.6210446357727051,"Eppes oder een duerch en Accident, eng Handlung oder en Afloss schiedegen, also Schued drun maachen oder et a sengem Zoustand verschlechteren."
beschneiden,VRB,to cut,to reduce,beschneiden,einschränken,faire une coupe dans,,duerch d'Reform ginn de Gemengen hir Moyene beschnidden ,BESCHNEIDEN1UNI2,have a reducing effect,0.730265736579895,,,,,have a reducing effect,en,0.730265736579895,"Eppes méi kleng oder manner maachen, andeems een en Deel ewechhëlt oder ofkierzt."
Bestätegung,SUBST,confirmation,,Bestätigung,Nachweis,confirmation,attestation,ech hunn eng Rei Bestätegunge fir meng Theorië fonnt ,BESTATEGUNG1UNI1,,,"Information, die bestätigt oder verifiziert",0.7211284637451172,,,"Information, die bestätigt oder verifiziert",de,0.7211284637451172,"Schrëftlech oder mëndlech Ausso, mat där eppes als richteg oder gëlteg unerkannt a confirméiert gëtt."
bestellen,VRB,to order,to request,bestellen,"in Auftrag geben, haben wollen",commander,passer commande de,eist Klengt huet sech ganz eleng bei der Serveuse en Dessert bestallt ,BESTELLEN1UNI1,make a request for something,0.7991361021995544,eine Anfrage/einen Antrag stellen,0.6158785223960876,,,make a request for something,en,0.7991361021995544,"Eppes offiziell oder formell ufroen oder uerdnen, besonnesch Wueren oder Servicer bei enger Persoun oder enger Firma."
Bezuelung,SUBST,,,Bezahlung,Entlohnung,rémunération,,d'Gewerkschafte setze sech fir eng besser Bezuelung am Bausecteur an ,BEZUELUNG1UNI1,,,Vergütung für eine geleistete Arbeit.,0.8195897340774536,,,Vergütung für eine geleistete Arbeit.,de,0.8195897340774536,"D’Aktioun oder de Prozess, bei deem een eng Zomm Suen als Géigeleeschtung fir eng Leeschtung, eng Wuer oder eng Schold iwwerweist oder ausbezuelt."
Bibel,SUBST,Bible,"the Bible, Holy scripture",Bibel,Heilige Schrift,Bible,Écriture sainte,de Paschtouer huet am Reliounsunterrecht d'Bibel erkläert ,BIBEL1UNI1,,,die heiligen Schriften der christlichen Religionen,0.7109090089797974,,,die heiligen Schriften der christlichen Religionen,de,0.7109090089797974,"Hellegt Buch vum Chrëschtentum, dat aus dem Alen an dem Neien Testament besteet an als Grondlag vum chrëschtleche Glawen gëllt."
bidden,VRB,to offer,to provide,bieten,anbieten,offrir,"procurer, proposer",dës Stad huet den Touriste vill ze bidden ,BIDDEN2UNI1,,,Für den Verkauf verfügbar machen.,0.6132364869117737,,,Für den Verkauf verfügbar machen.,de,0.6132364869117737,Eppes zur Verfügung stellen oder ginn; liwweren.
biedelen,VRB,to beg,to implore,betteln,flehen,supplier,prier instamment,"d'Kanner hu bei der Bomi gesouert a gebiedelt , fir Schockela ze kréien ",BIEDELEN1UNI1,,,zum Betteln bringen,0.6067366600036621,,,zum Betteln bringen,de,0.6067366600036621,Ëm eppes mat instänneger Ufro a grousser Drénglechkeet bieden; flehend ëm Hëllef oder eng Gonscht froen.
Billard,SUBST,billiard table,,Billard,,billard,table de billard,am Duerfcafé stinn elo zwee Billarden ,BILLARD1UNI2,,,,,a room in which billiards is played,0.7796069383621216,a room in which billiards is played,fr,0.7796069383621216,"Spill, bei deem ee mat engem Queue Kugelen op engem mat Duch bedeckte Dësch stéisst, fir se no bestëmmte Reegelen an d’Täschen ze versenken oder se an definéiert Positiounen ze bréngen."
blaméieren,VRB,to disgrace,,blamieren,,ridiculiser,,blaméier mech net virun deenen anere Leit! ,BLAMEIEREN1UNI1,bring shame or dishonor upon,0.6250309944152832,,,,,bring shame or dishonor upon,en,0.6250309944152832,Jemools d’Schold fir eppes ginn; een fir e Feeler oder e Mëssgléck verantwortlech maachen an dofir kritiséieren oder reprochéieren.
Bléckkontakt,SUBST,eye contact,,Blickkontakt,,contact visuel,,Bléckkontakt a Kierpersprooch si wichteg Aspekter vun der mënschlecher Interaktioun ,BLECKKONTAKT1UNI1,,,"eine Begegnung der Augen zwischen zwei Personen, die Ausdruck einer bedeutungsvollen nonverbalen Kommunikation ist",0.6141980290412903,,,"eine Begegnung der Augen zwischen zwei Personen, die Ausdruck einer bedeutungsvollen nonverbalen Kommunikation ist",de,0.6141980290412903,"Géigesäitege Kontakt tëscht zwou oder méi Persounen, bei deem si sech an d’Ae kucken, dacks als Zeeche vun Opmierksamkeet, Versteesdemech oder Kommunikatioun."
blesséieren,VRB,to hurt somebody's feelings,,verletzen,kränken,blesser,,mat dengem Sarkasmus blesséiers de all Mënsch ,BLESSEIEREN1UNI2,,,,,hurt the feelings of,0.7219997644424438,hurt the feelings of,fr,0.7219997644424438,Eng Persoun oder en Déier kierperlech verletzen oder hinnen eng Wonn zouféieren; am iwwerdroene Sënn och een emotional kränken oder beleidegen.
Blinddarmoperatioun,SUBST,appendectomy,,Blinddarmoperation,,appendicectomie,,hatt huet eng grouss Läinzeeche vun senger Blinddarmoperatioun behalen ,BLINDDARMOPERATIOUN1UNI1,surgical removal of the vermiform appendix,0.6789379119873047,,,,,surgical removal of the vermiform appendix,en,0.6789379119873047,"Chirurgesch Operatioun fir de Blinddarm (Appendix) ewechzehuelen, meeschtens wéinst enger Entzündung (Appendizitis)."
Blummebuttek,SUBST,florist's,,Blumengeschäft,,magasin de fleurs,magasin,amplaz vun engem Stack hu se mer am Blummebuttek en Arrangement proposéiert ,BLUMMEBUTTEK1UNI1,,,"ein Geschäft, in dem Blumen und Zierpflanzen verkauft werden",0.8250771760940552,,,"ein Geschäft, in dem Blumen und Zierpflanzen verkauft werden",de,0.8250771760940552,"Geschäft, an deem Blummen a Planzen verkaaft ginn, dacks och mat Bouqueten a Blummendekoratiounen."
Bluttkriibs,SUBST,leukaemia,,Blutkrebs,,leucémie,,bei de Kanner ass Bluttkriibs déi heefegst Zort vu Kriibs ,BLUTTKRIIBS1UNI1,,,bösartige Neubildung von blutbildenden Geweben; gekennzeichnet durch abnorme Vermehrung von Leukozyten; eine der vier Hauptkrebsarten,0.6626207232475281,,,bösartige Neubildung von blutbildenden Geweben; gekennzeichnet durch abnorme Vermehrung von Leukozyten; eine der vier Hauptkrebsarten,de,0.6626207232475281,"Kriibs vum Blutt oder vum bluttbildende System (z. B. Leukämie), bei deem sech krankhaft verännert Bluttzellen am Kierper onkontrolléiert vermehren."
Bolivianer,SUBST,Bolivian,,Bolivianer,,Bolivien,,mäi beschte Frënd ass Bolivianer ,BOLIVIANER1UNI1,a native or inhabitant of Bolivia,0.6695709228515625,,,a native or inhabitant of Bolivia,0.669571042060852,a native or inhabitant of Bolivia,en,0.6695709228515625,Persoun aus Bolivien; Bierger oder Awunner vu Bolivien.
Boma,SUBST,grandma,,Oma,Großmutter,mamie,,den Enkel ass mat senger Boma eng Ausstellung kucken ,BOMA1UNI1,,,die Mutter deines Vaters oder deiner Mutter,0.6211644411087036,,,die Mutter deines Vaters oder deiner Mutter,de,0.6211644411087036,"E grouss, déckstämmegt Bamgewächs mat enger breet ausgebreeter Kroun."
Bordell,SUBST,brothel,,Bordell,,bordel,maison close,an där Strooss ass ee Bordell um aneren ,BORDELL1UNI1,a building where prostitutes are available,0.6841935515403748,,,,,a building where prostitutes are available,en,0.6841935515403748,"E Bordell ass en Etablissement, an deem sexuell Servicer géint Bezuelung ugebuede ginn."
botswanesch,ADJ,Botswanan,,botsuanisch,,botswanais,,op eiser Rees hu mir déi botswanesch Kultur kenne geléiert ,BOTSWANESCH1UNI1,of or pertaining to Botswana or the people of Botswana,0.6370455026626587,,,,,of or pertaining to Botswana or the people of Botswana,en,0.6370455026626587,"Adjektiv, dat sech op Botswana bezitt oder aus Botswana staamt."
