lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr	wn_definition	definition_language	confidence	lux_definition
Pathologie	SUBST	forensic pathology		Gerichtsmedizin		médecine légale		ech hu Pathologie studéiert an elo schaffen ech an der Fuerschung 	PATHOLOGIE1UNI1			Teilgebiet der Medizin, das sich mit der Anwendung medizinischer Erkenntnisse zu juristischen Zwecken befasst	0.6468155384063721			Teilgebiet der Medizin, das sich mit der Anwendung medizinischer Erkenntnisse zu juristischen Zwecken befasst	German	0.6468155384063721	Ënnerberäich vun der Medezin, deen sech mat der Uwendung vu medezinesche Kenntnisser fir juristesch Zwecker befaasst
Patriarch	SUBST	patriarch	head of the family	Patriarch	Familienoberhaupt	patriarche	de famille	déi ganz Famill huet sech dem Wëlle vum Patriarch ze fügen 	PATRIARCH1UNI2	the male head of family or tribe	0.6852660179138184			the male head of family or tribe	0.6852661371231079	the male head of family or tribe	English	0.6852660179138184	de männleche Chef vun enger Famill oder engem Stamm
Patrimoine	SUBST			Vermögen		patrimoine	possession	eis Bank beréit Iech kompetent bei der Gestioun vun Ärem Patrimoine 	PATRIMOINE1UNI1			Gesamtheit an Geld und geldwerten Gütern im Besitz einer Person oder eines Unternehmens	0.666721761226654			Gesamtheit an Geld und geldwerten Gütern im Besitz einer Person oder eines Unternehmens	German	0.666721761226654	Gesamtheet u Suen a Saachen, déi e Geldwäert hunn, am Besëtz vun enger Persoun oder vun enger Firma
Patriotismus	SUBST	patriotism		Patriotismus		patriotisme		an eisem Sträit ass et ëm Patriotismus gaangen 	PATRIOTISMUS1UNI1	love of country and willingness to sacrifice for it	0.6370634436607361					love of country and willingness to sacrifice for it	English	0.6370634436607361	Léift fir säi Land an d’Bereetschaft, dofir Affer ze bréngen
patrulléieren	VRB	to patrol		patrouillieren		patrouiller		d'Zaldote sinn an de Stroosse vun der Stad patrulléiert 	PATRULLEIEREN1UNI1	maintain the security of by carrying out a patrol	0.6704990863800049	die Sicherheit eines Ortes durch eine Patrouille aufrechterhalten	0.6870341300964355	maintain the security of by carrying out a patrol	0.6704990863800049	maintain the security of by carrying out a patrol	English	0.6704990863800049	d’Sécherheet vun eppes assuréieren, andeems een reegelméisseg Kontrollronnen mécht
patschen	VRB	to smoke	a cigarette	rauchen	eine Zigarette	griller	une cigarette	an der Zäit hunn ech dräi Päck den Dag gepatscht 	PATSCHEN1UNI1			den Rauch von Zigaretten, Zigarren, Pfeifen ein- und ausatmen	0.6057307720184326			den Rauch von Zigaretten, Zigarren, Pfeifen ein- und ausatmen	German	0.6057307720184326	de Damp vu Zigaretten, Zigarren oder Päifen an- an ausootmen
patschen	VRB	to smoke	cigarettes	qualmen	rauchen	cloper		dee Kärel patscht schonn zënter Joren! 	PATSCHEN1UNI2			rauchen und stark ausatmen	0.6516963839530945			rauchen und stark ausatmen	German	0.6516963839530945	fëmmen an da staark ausootmen
Patt	SUBST	glass		Glas	Trinkgefäß	verre	récipient	e Client huet aus Versi säi Patt ëmgestouss 	PATT1UNI1	glassware collectively	0.6110530495643616					glassware collectively	English	0.6110530495643616	Glieser a Glasgeschir am Allgemengen
Patt	SUBST	paw	of an animal	Pfote	Tierfuß	patte	d'un animal	d'Kaz kraazt sech mat der hënneschter Patt hannerem Ouer 	PATT2UNI1			der gekrallte Fuß eines Tieres, insbesondere eines Vierfüßlers	0.7851262092590332			der gekrallte Fuß eines Tieres, insbesondere eines Vierfüßlers	German	0.7851262092590332	de gekrallte Fouss vun engem Déier, besonnesch vun engem Véierbeener
Paus	SUBST	break	pause, interruption	Pause	Ruhepause	pause	interruption	ech muss eng Paus maachen, fir zou mer ze kommen 	PAUS1UNI1	a pause from doing something (as work)	0.6966313719749451					a pause from doing something (as work)	English	0.6966313719749451	eng Ënnerbriechung dovun, eppes ze maachen (wéi Aarbecht)
Pazifist	SUBST	pacifist		Pazifist		pacifiste		als Pazifist huet hie refuséiert, de Militärdéngscht ze maachen 	PAZIFIST1UNI1	someone opposed to violence as a means of settling disputes	0.6153178811073303			someone opposed to violence as a means of settling disputes	0.6153177618980408	someone opposed to violence as a means of settling disputes	English	0.6153178811073303	eng Persoun, déi géint Gewalt ass als Mëttel, fir Sträitfäll ze léisen
Pech	SUBST	glue		Klebstoff		colle		ech kann d'Vas elo net flécken, well mir kee Pech am Haus hunn 	PECH1UNI1			ein Stoff, der Oberflächen miteinander verbindet oder verklebt	0.6879944801330566			ein Stoff, der Oberflächen miteinander verbindet oder verklebt	German	0.6879944801330566	eng Substanz, déi Uewerflächen matenee verbënnt oder zesummekleeft
pechschwaarz	ADJ	pitch-black		pechschwarz		noir comme jais		a menger Famill hunn se bal alleguer pechschwaarz Hoer 	PECHSCHWAARZ1UNI1	extremely dark	0.6691362857818604					extremely dark	English	0.6691362857818604	extrem donkel
Pedagog	SUBST	pedagogue		Pädagoge		pédagogue		eise Scoutschef ass e gudde Pedagog 	PEDAGOG1UNI1			ein Spezialist für die Theorie der Bildung	0.6096148490905762			ein Spezialist für die Theorie der Bildung	German	0.6096148490905762	e Spezialist fir d’Theorie vun der Bildung
pedagogesch	ADJ	pedagogic		pädagogisch		pédagogique		d'Professeren hu vill iwwer pedagogesch Konzepter geschwat 	PEDAGOGESCH1UNI1	of or relating to pedagogy	0.6034254431724548					of or relating to pedagogy	English	0.6034254431724548	wat d’Léier- an Erzéiungswëssenschaft betrëfft oder domat ze dinn huet
Pedagogie	SUBST	pedagogy		Pädagogik		pédagogie	science	déi nei Direktesch vun der Maison relais huet e Master an der Pedagogie 	PEDAGOGIE1UNI1	the principles and methods of instruction	0.6148192882537842			the profession of a teacher	0.6043591499328613	the principles and methods of instruction	English	0.6148192882537842	d’Grondsätz a Methode vum Unterrecht
Pedagogik	SUBST	pedagogy		Pädagogik		pédagogie	science	déi nei Direktesch vun der Maison relais huet e Master an der Pedagogik 	PEDAGOGIK1UNI1	the principles and methods of instruction	0.6148192882537842			the profession of a teacher	0.6043591499328613	the principles and methods of instruction	English	0.6148192882537842	d’Grondsätz an d’Methoden, wéi ee Wëssen a Fäegkeeten vermëttelt
Pedall	SUBST	pedal	for controlling a vehicle	Pedal	Fußhebel	pédale	levier, commande	du muss d'Pedall mam Fouss bis hannenhin drécken 	PEDALL1UNI1			ein Hebel, der mit dem Fuß betätigt wird	0.7990720272064209			ein Hebel, der mit dem Fuß betätigt wird	German	0.7990720272064209	en Hiewel, deen ee mam Fouss bedéngt
pedalléieren	VRB	to pedal	to bicycle	radeln		pédaler	se déplacer à bicyclette	mir sinn duerch d'Stad pedalléiert 	PEDALLEIEREN1UNI1	ride a bicycle	0.7324985861778259					ride a bicycle	English	0.7324985861778259	mat engem Vëlo fueren
pedalléieren	VRB	to make an effort		in die Pedale treten		pédaler	appuyer sur les pédales	fir eng gutt Moyenne ze kréien, muss een zolidd pedalléieren 	PEDALLEIEREN1UNI2			ein Fahrrad fahren	0.6393709778785706			ein Fahrrad fahren	German	0.6393709778785706	mam Vëlo fueren
Pediater	SUBST	paediatrician		Kinderarzt		pédiatre		de Pediater huet direkt erkannt, datt de Jong misst mam Blinddarm operéiert ginn 	PEDIATER1UNI1	a specialist in the care of babies	0.6731570363044739	ein Spezialist für die Pflege von Säuglingen	0.6725647449493408	a specialist in the care of babies	0.6731570363044739	a specialist in the care of babies	English	0.6731570363044739	e Spezialist fir d’Betreiung vu Puppelcher
Pediatrie	SUBST	paediatrics	branch of medicine	Pädiatrie	Fachgebiet	pédiatrie	spécialité médicale	d'Pediatrie gräift déi selwecht Spezialisatiounen op ewéi d'Erwuessenemedezin 	PEDIATRIE2UNI1	the branch of medicine concerned with the treatment of infants and children	0.7700923681259155			the branch of medicine concerned with the treatment of infants and children	0.7700923681259155	the branch of medicine concerned with the treatment of infants and children	English	0.7700923681259155	den Deel vun der Medezin, deen sech mat der Behandlung vu Puppelcher a Kanner beschäftegt
Pedikür	SUBST	pedicure		Pediküre	Fußpflege	pédicurie		ech ginn eemol de Mount an d'Pedikür 	PEDIKUR1UNI1			professionelle Pflege der Füße und Zehennägel	0.7859373092651367			professionelle Pflege der Füße und Zehennägel	German	0.7859373092651367	fachgerecht Fleeg vun de Féiss an den Zéiwenneel
Pedikür	SUBST	chiropodist		Pediküre	Fußpfleger(in)	pédicure		meng Pedikür geet och heem bei d'Leit 	PEDIKUR1UNI2			professionelle Pflege der Füße und Zehennägel	0.676963210105896			professionelle Pflege der Füße und Zehennägel	German	0.676963210105896	fachgerecht Fleeg vun de Féiss an den Zéiwenneel
Peffer	SUBST	pepper		Pfeffer		poivre		et feelt eng Grëtz Peffer an denger Zooss 	PEFFER1UNI1	pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	0.6484875679016113					pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	English	0.6484875679016113	schaarft Gewierz aus der Bär vun der üblecher Planz aus Ostindien; gëtt ganz oder gemuel benotzt
pefferen	VRB	to burn	to be painful	brennen	schmerzen	brûler	faire mal	wat huet dat gepeffert , wéi ech mer de Knéi opgerappt hunn! 	PEFFEREN1UNI2					be the source of pain	0.6109633445739746	be the source of pain	English	0.6109633445739746	d’Ursaach vu Péng sinn
pëfferen	VRB	to burn	to be painful	brennen	schmerzen	brûler	faire mal	wat huet dat gepëffert , wéi ech mer de Knéi opgerappt hunn! 	PEFFEREN2UNI1					be the source of pain	0.6109633445739746	be the source of pain	English	0.6109633445739746	d’Ursaach vu Péng sinn
Pefferkär	SUBST	peppercorn		Pfefferkorn		grain de poivre		ech hätt mech bal un engem Pefferkär verschléckt 	PEFFERKAR1UNI1	pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	0.6253570318222046			pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	0.6253570318222046	pungent seasoning from the berry of the common pepper plant of East India; use whole or ground	English	0.6253570318222046	schaarft Gewierz aus der klenger Friicht vun der üblecher Planz aus Ostindien; ganz oder gemuel benotzt
Peffermënz	SUBST	mint		Pfefferminze		menthe (poivrée)		Peffermënz ass gutt fir d'Verdauung 	PEFFERMENZ1UNI1	any member of the mint family of plants	0.620908260345459					any member of the mint family of plants	English	0.620908260345459	all Planz aus der Famill vun de Mënzplanzen
Peffermillen	SUBST	pepper mill		Pfeffermühle		moulin à poivre		d'Peffermille muss nogefëllt ginn 	PEFFERMILLEN1UNI1					a mill for grinding pepper	0.8186256885528564	a mill for grinding pepper	English	0.8186256885528564	eng Mill fir Peffer ze zerdrécken
Pelz	SUBST	fur		Pelz		pelage		d'Kaz huet e schéinen, glate Pelz 	PELZ1UNI1	the dressed hairy coat of a mammal	0.6016799211502075					the dressed hairy coat of a mammal	English	0.6016799211502075	déi preparéiert, hoereg Haut vun engem Mamendéier
Pendel	SUBST	pendulum	of a clock	Pendel	Uhrpendel	pendule	balancier	de Pendel vun der Standauer ass stoe bliwwen 	PENDEL1UNI1					a timepiece that shows the time of day	0.6351110339164734	a timepiece that shows the time of day	English	0.6351110339164734	en Apparat, deen d'Zäit vum Dag uweist
penetrant	ADJ	penetrating		penetrant	stark, intensiv	pénétrant		wouhier kënnt dee penetrante Geroch? 	PENETRANT1UNI1	tending to penetrate; having the power of entering or piercing	0.7146825790405273			tending to penetrate; having the power of entering or piercing	0.7146825790405273	tending to penetrate; having the power of entering or piercing	English	0.7146825790405273	dazu tendéierend, an eppes anzegoen; d’Kraaft hunn, anzetrëppelen oder duerchzestiechen
péngegen	VRB	to torture		foltern		torturer	soumettre à des tortures	am Konzentratiounslager goufen d'Leit zu Doud gepéngegt 	PENGEGEN1UNI1	subject to torture	0.6349917054176331					subject to torture	English	0.6349917054176331	der Folter ausgesat
Penicillin	SUBST	penicillin		Penicillin		pénicilline		Penicillin ass en Antibiotique, dee bei ville bakteriellen Infektiounen hëlleft 	PENICILLIN1UNI1	any of various antibiotics obtained from Penicillium molds (or produced synthetically) and used in the treatment of various infections and diseases	0.6321161389350891	eines der verschiedenen Antibiotika, die aus dem Schimmelpilz Penicillium gewonnen (oder synthetisch hergestellt) und zur Behandlung verschiedener Infektionen und Krankheiten verwendet werden	0.6831130981445312			any of various antibiotics obtained from Penicillium molds (or produced synthetically) and used in the treatment of various infections and diseases	English	0.6321161389350891	ee vun ënnerschiddlechen Antibiotiken, déi aus Schimmelkulturen aus der Gattung Penicillium gewonnen (oder synthetesch hiergestallt) ginn an an der Behandlung vu verschiddenen Infektiounen a Krankheete benotzt ginn
Pensiounskeess	SUBST	pension fund		Rentenkasse		caisse de retraite		meng Mamm huet 35 Joer an d'Pensiounskeess abezuelt 	PENSIOUNSKEESS1UNI1					a fund reserved to pay workers' pensions when they retire from service	0.7516083121299744	a fund reserved to pay workers' pensions when they retire from service	English	0.7516083121299744	e Fong, dee reservéiert ass, fir d’Pensioune vun de Salariéen ze bezuelen, wann si aus dem Déngscht a Pensioun ginn
Pente	SUBST	slope		Gefälle		pente	déclivité, inclinaison	an deem Wéngert kann een net mam Trakter schaffen, well d'Pente ze géi ass 	PENTE1UNI1					a slope or hillside	0.7258079648017883	a slope or hillside	English	0.7258079648017883	en ofschëssege Stéck Terrain oder eng Hiwwelssäit
Pente	SUBST	slope	hillside	Hang	Abhang	pente	versant	well mer eist Haus an eng Pente gebaut hunn, ass eise Keller stänneg fiicht 	PENTE1UNI2					a slope or hillside	0.7464488744735718	a slope or hillside	English	0.7464488744735718	en ofschëssege Buedem oder eng Hiwwelsäit
Peperoni	SUBST	pepper	sweet pepper, capsicum	Paprika	Paprikaschote	poivron		mir hunn d'Peperonie mat Schofskéis gefëllt 	PEPERONI1UNI2	sweet and hot varieties of fruits of plants of the genus Capsicum	0.7284427881240845			large mild crisp thick-walled capsicum peppers usually bell-shaped or somewhat oblong; commonly used in salads	0.6155744791030884	sweet and hot varieties of fruits of plants of the genus Capsicum	English	0.7284427881240845	séiss a schaarf Zorte vu Friichten vu Planzen aus der Gattung Capsicum
Pëppel	SUBST	poplar		Pappel	Baum	peuplier	arbre	bei der Baach sinn d'Gemengenaarbechter amgaang, d'Pëppelen ëmzeseeën 	PEPPEL1UNI1	soft light-colored non-durable wood of the poplar	0.6430362462997437					soft light-colored non-durable wood of the poplar	English	0.6430362462997437	mëllt, hellfaarwegt, net laang haltbaart Holz vum Popelbam
perfektionéieren	VRB	to perfect		perfektionieren		perfectionner		eise Verdeelungssystem vum interne Courrier muss perfektionéiert ginn 	PERFEKTIONEIEREN1UNI1			vervollkommnen oder vervollständigen	0.6401855945587158			vervollkommnen oder vervollständigen	German	0.6401855945587158	nach weider verbesseren oder ganz fäerdeg maachen
Perfektionismus	SUBST	perfectionism		Perfektionismus		perfectionnisme		hie geet mir mat sengem Perfektionismus op de Su 	PERFEKTIONISMUS1UNI1	a disposition to feel that anything less than perfect is unacceptable	0.627979040145874			a disposition to feel that anything less than perfect is unacceptable	0.627979040145874	a disposition to feel that anything less than perfect is unacceptable	English	0.627979040145874	eng Astellung, bei där een der Meenung ass, datt alles, wat net ganz perfekt ass, net ze akzeptéiere wier
Performance	SUBST			Performance		prestation (artistique)		wärend der Sängerin hirer Performance waren eng Hellewull Dänzer mat op der Bün 	PERFORMANCE2UNI1			die Darbietung eines Theaterstücks, eines Musikstücks oder einer anderen Unterhaltungsform	0.6122467517852783			die Darbietung eines Theaterstücks, eines Musikstücks oder einer anderen Unterhaltungsform	German	0.6122467517852783	d’Opféierung vun engem Theaterstéck, engem Museksstéck oder enger anerer Form vun Ënnerhalung
Perikarditt	SUBST	pericarditis		Herzbeutelentzündung		péricardite		eng staark Péng hanner dem Broschtbeen, déi bis an den Hals oder d'Schëller ausstraalt, kann op eng Perikarditt hindeiten 	PERIKARDITT1UNI1	inflammation of the pericardium	0.835768461227417					inflammation of the pericardium	English	0.835768461227417	Entzündung vun der Häerzbeidel-Ëmhüllung
Period	SUBST	period	of time	Periode	Zeitabschnitt	période	de temps	dat war eng bedeitend Period a mengem Liewen 	PERIOD1UNI1			ein Augenblick der Zeit	0.6632804274559021			ein Augenblick der Zeit	German	0.6632804274559021	e kuerze Moment an der Zäit
periodesch	ADJ	periodical		periodisch		périodique		eng periodesch Kontroll ass wichteg, fir d'Gewässer propper ze halen 	PERIODESCH1UNI1			in regelmäßigen Abständen vorkommend oder wiederkehrend	0.763156533241272			in regelmäßigen Abständen vorkommend oder wiederkehrend	German	0.763156533241272	a reegelméissegen Ofstänn optriedend oder sech widderhuelend
Perkussionist	SUBST	percussionist		Perkussionist		percussionniste		de Perkussionist huet e Solo op der Batterie gespillt 	PERKUSSIONIST1UNI1	a musician who plays percussion instruments	0.8445844650268555			a musician who plays percussion instruments	0.8445844650268555	a musician who plays percussion instruments	English	0.8445844650268555	e Museker, deen op Schlaginstrumenter spillt
Permis	SUBST	permit		Erlaubnisschein		permis	autorisation	fir hei kënnen ze fëschen, muss een e Permis hunn 	PERMIS1UNI1			Erlaubnis, etwas zu tun	0.7405972480773926			Erlaubnis, etwas zu tun	German	0.7405972480773926	Erlaabnis, eppes ze maachen
personaliséieren	VRB	to personalize		personalisieren		personnaliser	axer sur l'individu	an deem Geschäft kriss de Artikelen, mat deenen s de kanns däin Auto personaliséieren 	PERSONALISEIEREN1UNI1			persönlich oder persönlicher machen	0.6824042797088623			persönlich oder persönlicher machen	German	0.6824042797088623	méi op eng eenzel Persoun ofstëmmen oder et méi individuell maachen
Personalpronomen	SUBST	personal pronoun		Personalpronomen		pronom personnel		an der Prüfung hu mer missen dee richtege Personalpronomen asetzen 	PERSONALPRONOMEN1UNI1					a pronoun expressing a distinction of person	0.7783282399177551	a pronoun expressing a distinction of person	English	0.7783282399177551	e Fürwuert, dat en Ënnerscheed tëscht de Persounen ausdréckt
Personifikatioun	SUBST	personification		Personifikation		personnification		d'Justitia, mat hire verbonnenen Aen, hirer Wo an hirem Schwäert, ass d'Personifikatioun vun der Gerechtegkeet 	PERSONIFIKATIOUN1UNI1	representing an abstract quality or idea as a person or creature	0.6370395421981812			representing an abstract quality or idea as a person or creature	0.6370395421981812	representing an abstract quality or idea as a person or creature	English	0.6370395421981812	eng abstrakt Eegenschaft oder Iddi als Mënsch oder Wiesen duerstellen
Personifizéierung	SUBST	personification		Personifizierung		personnification		d'Justitia, mat hire verbonnenen Aen, hirer Wo an hirem Schwäert, ass d'Personifizéierung vun der Gerechtegkeet 	PERSONIFIZEIERUNG1UNI1	representing an abstract quality or idea as a person or creature	0.6370395421981812			representing an abstract quality or idea as a person or creature	0.6370395421981812	representing an abstract quality or idea as a person or creature	English	0.6370395421981812	eng abstrakt Eegenschaft oder Iddi als Mënsch oder Wiesen duerstellen
Personnage	SUBST	personage	important person	Gestalt	geachtete Person	personnage	personnalité remarquable	hie gehéiert zu de wichtegste Personnagë vu senger Zäit 	PERSONNAGE1UNI3					the most important person in a group or undertaking	0.667802095413208	the most important person in a group or undertaking	English	0.667802095413208	déi wichtegst Persoun an enger Grupp oder an engem Projet
Persoun	SUBST	person	grammatical category	Person	grammatische Kategorie	personne	catégorie grammaticale	de Roman ass an der éischter Persoun geschriwwen 	PERSOUN1UNI2	a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party	0.6070944666862488			a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party	0.6070945858955383	a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party	English	0.6070944666862488	eng grammatesch Kategorie, déi benotzt gëtt fir Pronomen, Possessivdeterminanten an Verbformen ze klassifizéieren, jee nodeem ob se de Spriecher, den Ugeschwatene oder eng drëtt Partei bezeechnen
Perte	SUBST	loss	disadvantage	Verlust		perte	préjudice	d'Firma huet eng Perte vun dräi Milliounen Euro ugekënnegt 	PERTE1UNI2	the disadvantage that results from losing something	0.606105625629425	der Vorgang, jemanden oder etwas zu verlieren	0.6862027049064636	the disadvantage that results from losing something	0.606105625629425	the disadvantage that results from losing something	English	0.606105625629425	den Nodeel, deen entsteet, wann een eppes verléiert
Peruaner	SUBST	Peruvian		Peruaner		Péruvien		mäi beschte Frënd ass Peruaner 	PERUANER1UNI1	a native or inhabitant of Peru	0.6115394830703735			a native or inhabitant of Peru	0.6115394830703735	a native or inhabitant of Peru	English	0.6115394830703735	eng Persoun, déi aus Peru kënnt oder do wunnt
pervertéieren	VRB	to pervert	to corrupt	pervertieren		pervertir	corrompre	de Mënsch gëtt gären duerch d'Muecht pervertéiert 	PERVERTEIEREN1UNI1	corrupt morally or by intemperance or sensuality	0.644683837890625			corrupt morally or by intemperance or sensuality	0.644683837890625	corrupt morally or by intemperance or sensuality	English	0.644683837890625	moralesch verkommen loossen oder duerch Onmooss oder Sënnlechkeet verdierwen
Pescht	SUBST	(bubonic) plague		Pest		peste		d'Pescht war fréier eng gefaart Krankheet 	PESCHT1UNI1					any epidemic disease with a high death rate	0.6080058217048645	any epidemic disease with a high death rate	English	0.6080058217048645	all epidemesch Krankheet mat enger héijer Stierflechkeet
Pestizid	SUBST	pesticide		Pestizid		pesticide		et wier besser, manner Pestiziden op de Felder ze gebrauchen 	PESTIZID1UNI1	a chemical used to kill pests (as rodents or insects)	0.7464233040809631					a chemical used to kill pests (as rodents or insects)	English	0.7464233040809631	eng cheemescht Mëttel, dat benotzt gëtt, fir Schädlinge wéi Nager oder Insekten ëmzebréngen
Petitioun	SUBST	petition	request	Petition	Bittgesuch	pétition	requête	wien huet dës Petitioun lancéiert? 	PETITIOUN1UNI1			ehrfürchtige Bitte an eine Gottheit	0.6326736211776733			ehrfürchtige Bitte an eine Gottheit	German	0.6326736211776733	éierfäerdeg Ufro un eng Gottheet
pëtzen	VRB	to pinch	to nip	kneifen		pincer	faire mal à	hal op, mech stänneg an den Aarm ze pëtzen ! 	PETZEN1UNI1			reizen wie durch ein Zwicken, Kneifen oder Reißen	0.6644411087036133			reizen wie durch ein Zwicken, Kneifen oder Reißen	German	0.6644411087036133	e Gefill ausléisen wéi wann ee gezwickt, geknipst oder gezunn gëtt
Phar	SUBST	lighthouse		Leuchtturm		phare	tour	an der Vakanz sinn ech op e Phar geklommen 	PHAR1UNI2			ein Turm mit einem Licht, das vorbeifahrende Schiffe vor Untiefen warnt	0.6314888000488281			ein Turm mit einem Licht, das vorbeifahrende Schiffe vor Untiefen warnt	German	0.6314888000488281	en Tuerm mat engem Liicht, dat laanschtfuere Schëffer viru flaache Plazen am Waasser warnt
pharmakologesch	ADJ	pharmacological		pharmakologisch		pharmacologique		niewent enger psychologescher Betreiung kritt d'Patientin och eng pharmakologesch Behandlung 	PHARMAKOLOGESCH1UNI1	of or relating to pharmacology	0.6616601943969727					of or relating to pharmacology	English	0.6616601943969727	aus der Wëssenschaft iwwer Wierkung an Uwendung vu Medikamenter oder domat zesummenhängend
pharmazeutesch	ADJ	pharmaceutical		pharmazeutisch		pharmaceutique		eis Firma verkeeft pharmazeutesch Produkter 	PHARMAZEUTESCH1UNI1	of or relating to drugs used in medical treatment	0.6327327489852905			of or relating to drugs used in medical treatment	0.6327327489852905	of or relating to drugs used in medical treatment	English	0.6327327489852905	wat Medikamenter betrëfft, déi bei der medezinescher Behandlung agesat ginn
Pharyngite	SUBST	pharyngitis		Rachenentzündung		pharyngite		staarken Halswéi a Problemer beim Schlécke kënne Symptomer vun enger Pharyngite sinn 	PHARYNGITE1UNI1	inflammation of the fauces and pharynx	0.6417941451072693					inflammation of the fauces and pharynx	English	0.6417941451072693	Entzündung vum Halsberäich an dem ieweschten Deel vum Rachen
Philippinner	SUBST	Filipino		Philippiner		Philippin		mäi beschte Frënd ass Philippinner 	PHILIPPINNER1UNI1	a native or inhabitant of the Philippines	0.629169225692749					a native or inhabitant of the Philippines	English	0.629169225692749	eng Persoun, déi op de Philippinnen gebuer ass oder do wunnt
Philologie	SUBST	philology		Philologie		philologie		ech kann tëschent klassescher an neier Philologie wielen, wann ech Sproochwëssenschafte studéiere wëll 	PHILOLOGIE1UNI1	the humanistic study of language and literature	0.6143795251846313					the humanistic study of language and literature	English	0.6143795251846313	d’humanistesch Etüd vu Sprooch a Literatur
Philosoph	SUBST	philosopher		Philosoph		philosophe		d'Philosophe beschäftege sech vill mat de Begrëffer vu Raum an Zäit 	PHILOSOPH1UNI1	a specialist in philosophy	0.707988977432251					a specialist in philosophy	English	0.707988977432251	e Spezialist an der Philosophie
philosophéieren	VRB	to philosophize		philosophieren	reden	philosopher	de façon oiseuse	ech maachen näischt léiwer ewéi mat Frënn philosophéieren 	PHILOSOPHEIEREN1UNI1	reason philosophically	0.6778649687767029					reason philosophically	English	0.6778649687767029	op eng philosophesch Aart a Weis nodenken an argumentéieren
philosophesch	ADJ	philosophical		philosophisch		philosophique		den Existenzialismus ass eng philosophesch Stréimung vum 20. Joerhonnert 	PHILOSOPHESCH1UNI1			von oder in Bezug auf Philosophie oder Philosophen	0.734215497970581			von oder in Bezug auf Philosophie oder Philosophen	German	0.734215497970581	vun oder am Zesummenhang mat der Philosophie oder mat Philosophen
Phlebitt	SUBST	phlebitis		Venenentzündung		phlébite		eng Phlebitt ass eng Entzündung vun de Veenen 	PHLEBITT1UNI1			Entzündung einer Vene (meist an den Beinen)	0.6122118234634399			Entzündung einer Vene (meist an den Beinen)	German	0.6122118234634399	Entzündung vun enger Bluttader (meeschtens un de Been)
Phobie	SUBST	phobia		Phobie		phobie		wéinst hire Phobien ass si a psychiatrescher Behandlung 	PHOBIE1UNI1	an anxiety disorder characterized by extreme and irrational fear of simple things or social situations	0.6165924072265625					an anxiety disorder characterized by extreme and irrational fear of simple things or social situations	English	0.6165924072265625	eng Angschtstéierung, déi sech duerch eng extrem an onbegrënnt Angscht viru banale Saachen oder soziale Situatiounen auszeechent
Phoneetik	SUBST	phonetics		Phonetik		phonétique		ech hu mech am Laf vu menge Studien op d'Phoneetik spezialiséiert 	PHONEETIK1UNI1	the branch of acoustics concerned with speech processes including its production and perception and acoustic analysis	0.6110506653785706					the branch of acoustics concerned with speech processes including its production and perception and acoustic analysis	English	0.6110506653785706	den Deel vun der Akustik, deen sech mat de Prozesser vun der Ried beschäftegt, dorënner hir Hierstellung an hir Perceptioun souwéi d’akustesch Analys
Phosphat	SUBST	phosphate		Phosphat		phosphate		ze vill Phosphater am Drénkwaasser si schlecht fir d'Gesondheet 	PHOSPHAT1UNI1	a salt of phosphoric acid	0.6301957368850708					a salt of phosphoric acid	English	0.6301957368850708	e Salz vun der Phosphorsäier
physikalesch	ADJ	physical	relating to physics	physikalisch		physique	qui concerne les sciences physiques	an der Schoul hu mer haut interessant physikalesch Experimenter gemaach 	PHYSIKALESCH1UNI1	relating to the sciences dealing with matter and energy; especially physics	0.7981604933738708					relating to the sciences dealing with matter and energy; especially physics	English	0.7981604933738708	op d’Wëssenschafte bezunn, déi sech mat Matière an Energie beschäftegen; besonnesch op d’Physik bezunn
Physiker	SUBST	physicist		Physiker		physicien		dëse Physiker huet eng interessant Entdeckung gemaach 	PHYSIKER1UNI1	a scientist trained in physics	0.7857522368431091			a scientist trained in physics	0.7857522368431091	a scientist trained in physics	English	0.7857522368431091	e Wëssenschaftler, deen an der Physik ausgebilt ass
Physiotherapeut	SUBST	physiotherapist		Physiotherapeut		physiothérapeute		duerch d'Aarbecht vu mengem Physiotherapeut kann ech haut nees goen, ouni Péng am Knéi ze hunn 	PHYSIOTHERAPEUT1UNI1	therapist who treats injury or dysfunction with exercises and other physical treatments of the disorder	0.6358784437179565			therapist who treats injury or dysfunction with exercises and other physical treatments of the disorder	0.6358784437179565	therapist who treats injury or dysfunction with exercises and other physical treatments of the disorder	English	0.6358784437179565	Therapeut, deen eng Verletzung oder eng Funktiounsstéierung mat Übunge an anere kierperleche Behandlunge vun der Stéierung behandelt
